RR70_MNS_ANB_35,RR60_MNS_ANB_40,RR70_MNS_ANB_40,RR60_MNS_ANB_45,RR70_MNS_ANB_45,RR90_MNS_ANB_65,17_CSO_M_NS_AGG_ANB,Protective,Corebridge,Symetra,Lincoln,F&G,Principal,Nationwide,GHI_BC_M65
0.16363,0.24559,0.24559,0.35002,0.35002,0,0.00387,0.04438716,0.084614,0.168324,0.494263,0.123209,0.367663,0.1048992,0
0.18043,0.26495,0.26495,0.37165,0.37165,0,0.00411,0.04438716,0.092652,0.198755,0.529554,0.123209,0.415907,0.1048992,0
0.19647,0.28546,0.28546,0.39279,0.39279,0,0.00439,0.04438716,0.101462,0.236005,0.546116,0.123209,0.466574,0.1048992,0
0.21108,0.3067,0.3067,0.41305,0.41305,0,0.00474,0.04438716,0.110928,0.281544,0.562678,0.123209,0.519082,0.1048992,0
0.22779,0.32825,0.32825,0.43208,0.43208,0,0.00521,0.04438716,0.120957,0.322301,0.596461,0.123209,0.572799,0.1048992,0
0.24559,0.35002,0.35002,0.44951,0.44951,0,0.00579,0.04438716,0.131538,0.36892,0.628416,0.123209,0.626971,0.1048992,0
0.26495,0.37165,0.37165,0.46498,0.46498,0,0.00644,0.04438716,0.141957,0.422094,0.676053,0.123209,0.680755,0.1048992,0
0.28546,0.39279,0.39279,0.47812,0.47812,0,0.00717,0.04438716,0.152327,0.482694,0.728786,0.123209,0.672075,0.1048992,0
0.3067,0.41305,0.41305,0.48857,0.48857,0,0.00796,0.04438716,0.152335,0.551649,0.787524,0.123209,0,0.1048992,0
0.32825,0.43208,0.43208,0.49595,0.49595,0,0.00881,0.04438716,0.152344,0.586663,0.853353,0.123209,0,0.1048992,0
0.35002,0.44951,0.44951,0.5,0.5,0,0.00972,0.04438716,0.152352,0.619904,0.927773,0.123209,0,0.1048992,0
0.37165,0.46498,0.46498,0.5,0.5,0,0.01073,0.04438716,0.152361,0.650422,0.934873,0.123209,0,0.1048992,0
0.39279,0.47812,0.47812,0.5,0.5,0,0.01187,0.04438716,0.152371,0.677158,0.941957,0.123209,0,0.1048992,0
0.41305,0.48857,0.48857,0.5,0.5,0,0.01321,0.04438716,0.152381,0.699015,0.949023,0.123209,0,0.1048992,0
0.43208,0.49595,0.49595,0.5,0.5,0,0.0148,0.04438716,0.152391,0.714835,0.956071,0.123209,0,0.1048992,0
0.44951,0.5,0.5,0.5,0.5,0,0.0167,0.04438716,0.152402,0.723752,0.963098,0.123209,0,0.1048992,0
0.46498,0.5,0.5,0.5,0.5,0,0.01891,0.04438716,0.152414,0.724025,0.970103,0.123209,0,0.1048992,0
0.47812,0.5,0.5,0.5,0.5,0,0.02143,0.04438716,0.152426,0.724312,0.977089,0.123209,0,0.1048992,0
0.48857,0.5,0.5,0.5,0.5,0,0.02424,0.04438716,0.152439,0.724614,0.984056,0.123209,0,0,0
0.49595,0.5,0.5,0,0,0,0.02732,0,0.152452,0.724932,0.9837,0.123209,0,0,0
0.5,0.5,0.5,0,0,0,0.03071,0,0.152466,0.725267,0,0,0,0,0
0.5,0.5,0.5,0,0,0,0.03446,0,0.152481,0.72562,0,0,0,0,0
0.5,0.5,0.5,0,0,0,0.03874,0,0.152496,0.725992,0,0,0,0,0
0.5,0.5,0.5,0,0,0,0.04368,0,0.152513,0.725992,0,0,0,0,0
0.5,0,0,0,0,0,0.04946,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0.05593,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0.06346,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0.07219,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.08234,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.09409,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.10761,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.1229,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.13949,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.15718,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.17535,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.19352,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.21149,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.22836,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.2434,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.26243,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.28269,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.30471,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.35209,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.37447,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.3968,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.41866,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.43965,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.45936,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.47743,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.50332,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.53061,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.55939,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.58972,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.6217,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.65542,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.69096,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.72843,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.76794,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.80958,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.85348,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.89977,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.94856,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
